main,mid,sub,applicationNumber,link
26,13,25,4019600000013,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ad7a17eeeef6e4ea4b5e22ef00dd3e29f19dd8f688327f3b3a1d0def9bd35151e536419e49ca77e7237f413b8aa22e2a
24,15,02,4019600000022,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621651bbac27f4207a76a803b844bba53aa
07,01,05,4019600000027,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621651bbac27f4207a7e736cc9ca307721f
05,05,20,4019600000073,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621b336c3cb8ae47125bc926308f03ceb49
26,04,15,4019600000073,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621b336c3cb8ae47125bc926308f03ceb49
26,05,18,4019600000045,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a66212b5f173eb0dc0b28e0c6695b74c56a7e
26,13,25,4019600000052,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ddc2eb0ede6ce673684170d04c805d57
24,15,11,4019600000054,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ddc2eb0ede6ce67379e83a58b75bd148
03,09,14,4019600000055,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ddc2eb0ede6ce6737e02c50c62d74a30
26,01,15,4019600000055,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ddc2eb0ede6ce6737e02c50c62d74a30
26,01,18,4019600000055,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ddc2eb0ede6ce6737e02c50c62d74a30
02,03,16,4019600000057,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ddc2eb0ede6ce67305495aeca5c3774e
26,04,14,4019600000057,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=75a63eed5a438998fe897a23675ce4c3a2d05eeb9ad59d3288d9528aa21a6621ddc2eb0ede6ce67305495aeca5c3774e
